cpu,memory,disk,network
28.87521431925405,6189.0,400.0,876.3668641124665
63.29592719248484,5429.0,994.0,817.9182519199178
79.9035643740931,5670.0,776.0,100.46036381180512
84.3632789867873,1663.0,514.0,240.21591830464644
42.35391564795823,7854.0,161.0,456.75394793238326
71.47453975145731,1511.0,851.0,343.92980810281153
61.98167627287869,4432.0,560.0,101.57543355957417
43.67205078225125,4902.0,492.0,735.5305954585127
23.23803018477588,4617.0,445.0,465.0543114629767
65.80850533068262,665.0,67.0,24.42148320376611
69.07194142437214,3036.0,770.0,892.4050242966957
85.3403361697289,2049.0,633.0,324.8027258269316
68.36244530167353,3199.0,286.0,877.4305534868605
59.10842667826921,6453.0,784.0,793.4956530019058
23.92662651406043,5985.0,291.0,664.1905443940012
93.80827392773732,1072.0,94.0,741.1208197254135
47.167658123921626,782.0,508.0,539.8008103435468
46.095605868662496,3898.0,834.0,405.17512656590935
42.48503956739269,7285.0,882.0,991.9703039880168
88.63175513052825,2426.0,883.0,814.1355397804384
26.97429798673491,7935.0,951.0,201.31692108182648
25.922687164312144,4277.0,161.0,618.2560073570106
42.147610817887454,4852.0,742.0,517.8495563226984
86.8904108608051,5281.0,518.0,864.8497622854242
79.59337090251427,4822.0,495.0,325.9322549222579
70.14294850421855,2973.0,436.0,56.5032611871584
72.69053761511051,648.0,924.0,479.26620328896064
81.33389973927089,3830.0,707.0,75.03519532476263
48.99053801172709,646.0,871.0,665.9422385613973
57.33593810257177,3312.0,345.0,895.3224670738498
88.91949002296658,3015.0,655.0,241.55796215748143
92.48130393998056,1001.0,892.0,40.62157257963037
92.58950261337728,1441.0,93.0,523.0934146831698
82.56084477505068,6296.0,543.0,639.7077361487034
80.00532265243696,5292.0,952.0,271.87064594894986
44.61445652069837,595.0,325.0,829.082989277884
56.352221534753525,5653.0,392.0,551.2293650133764
32.51451512740646,2936.0,735.0,526.6654848763637
77.14263594536524,1381.0,466.0,421.3589224314453
36.18055093823406,716.0,54.0,863.455381150831
54.67216707504554,7408.0,231.0,159.18061213082544
77.07430700210705,6400.0,389.0,947.288474821966
28.32421019101108,3789.0,241.0,504.309916554182
20.286494199393733,7071.0,650.0,147.85437614816843
42.31613384891155,4934.0,288.0,447.82975375436354
83.14501750938564,5601.0,464.0,641.5228558074319
40.27949647883942,6638.0,901.0,863.8715423275695
83.108566481357,5799.0,543.0,144.3314346143565
34.8102867394953,2730.0,569.0,223.05243493586087
64.11517002112929,5258.0,266.0,60.05359607994357
71.63037638691026,4368.0,158.0,734.2464983655226
58.84703957844342,2984.0,601.0,130.6607067635698
75.49280905751978,7803.0,469.0,462.8686253111893
77.69173608786002,1031.0,620.0,104.77176419695331
88.81143823489927,6988.0,464.0,507.4409932651379
49.59320566982348,8031.0,236.0,479.6905446845277
49.112427959524666,3632.0,558.0,488.02276166600376
